volgnr,pagina,voorletters,tussenvoegsel,achternaam,achtervoegsel,rol,vereniging
398,223,D.,,Allart,,,NRC
399,223,J.G.J.,,Bergee,,,NRC
400,223,H.,,Blankenaer,,,NRC
401,223,A.,van den,Bosch,,,NRC
402,223,A.,,Doolhof,,,NRC
403,223,P.F.,,Gerpot,,,NRC
404,223,M.,van,Gerwen,,,NRC
405,223,H.,,Hermans,,,NRC
406,223,D.,,Klouwens,,,NRC
407,223,J.J.,,Lindenhof,,,NRC
408,223,J.J.,,Mathlener,,,NRC
409,223,J.,,Muijzert,,,NRC
410,223,G.,,Noot,,,NRC
411,223,P.,,Ponk,,,NRC
412,223,J.,,Reitsma,,,NRC
413,223,W.P.J.,,Schollaardt,,,NRC
414,223,Jz.,,Wijnbeek,,,NRC
415,223,H.,van,Wijnen,,,NRC
